John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  	1
The guy who said he's had better dialogue with his potted plants has it right.  	0
Non-linear narration thus many flashbacks and every part are articulated quite well.  	1
The movie is terribly boring in places.  	0
All in all, a great disappointment.  	0
It's PURE BRILLIANCE.  	1
I left the theater with a lilt in my step, joy in my heart and hope for the human race.  	1
Beware: this is not a trashy cult movie, this is trash -period!  	0
All the characters in this film are tremendously well played.  	1
I will never forget it now.  	1
Having to humour him just to get by and get through the day was so apt.  	1
This movie now joins Revenge of the Boogeyman and Zombiez as part of the hellish trinity of horror films.  	0
The aerial scenes were well-done.  	1
putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  	0
Characters are one-dimensional, even the good guys and especially the bad guys.  	0
I advise you to look out for it.  	1
This film has no redeeming features.  	0
) What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  	1
It is a film about nothing, just a pretext to show ridiculous action scenes.  	0
Never heard of any of them except Cole who was totally unbelievable in the part.  	0
10 out of 10 for both the movie and trilogy.  	1
I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  	1
But "Tiny Toons" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  	1
Avoid, avoid, avoid!  	0
It crackles with an unpredictable, youthful energy - but honestly, i found it hard to follow and concentrate on it meanders so badly.  	0
The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  	1
It will drive you barking mad!  	0
Emily Watson's character is very strong, and she has only to give a quick glance and you understand everything.  	1
The story itself is just predictable and lazy.  	0
The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  	0
Everything about this movie is stupid.  	0
What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  	0
This movie is possibly one of the most creative works of horror ever.  	1
Really bad.  	0
This is actually a very smart movie.  	1
Judith Light is one of my favorite actresses and I think she does a superb job in this film!  	1
For people who are first timers in film making, I think they did an excellent job!!  	1
Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  	0
He is an amazing film artist, one of the most important whoever lived.  	1
Meredith M was better than all right.  	1
The puppets look really cheesy , not in a good way like in the Puppet Master 80's flicks.  	0
It was clear that she had the range and ability to pull off this part.  	1
